Nombre producto,Marca,Precio reportado
ARROZ BLANCO DIANA X1.000G,DIANA,3193.520595909091
AZUCAR RIOPAILA BLANCA NATURAL X 1KG,RIOPAILA,2733.3333333333335
AZUCAR RIOPAILA BLANCA NATURAL X 1KG,RIOPAILA,2800
AZUCAR RIOPAILA MORENA X1KG,RIOPAILA,3099.125
ARROZ BLANCO DIANA X500G,DIANA,1546.628890818182
AZUCAR RIOPAILA BLANCA NATURAL X 1KG,RIOPAILA,2742.4
ARROZ BLANCO DIANA X1.000G,DIANA,3219.7450025
ARROZ BLANCO DIANA X500G,DIANA,1575.7074418333334
ARROZ BLANCO DIANA X500G,DIANA,1507.5863542727272
ARROZ BLANCO DIANA X500G,DIANA,1580.6285714
